Respondent_ID,Timestamp,Age,Gender,Education level,"IT proficiency at the,",You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,"You receive a pop-up asking for your login like this.What should you do?",Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
11,2025/08/25 8:46:40 AM GMT+5:30,25,Male,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Reply to confirm if it’s real,Ignore it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Ignore it
12,2025/08/25 8:47:08 AM GMT+5:30,25,Male,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Reply to confirm if it’s real,Ignore it,They work on different platforms,Click “Yes” and update later,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
13,2025/08/25 8:47:36 AM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
14,2025/08/25 8:48:06 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
15,2025/08/25 8:50:12 AM GMT+5:30,25,Female,Degree,University /Diploma level,Reply and confirm,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,Because email is not important,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
16,2025/08/25 8:50:39 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Reply to confirm if it’s real,Ignore it,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
17,2025/08/25 8:51:13 AM GMT+5:30,26,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
18,2025/08/25 8:51:42 AM GMT+5:30,24,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
19,2025/08/25 8:52:06 AM GMT+5:30,26,Male,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
20,2025/08/25 8:52:34 AM GMT+5:30,24,Female,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Assume it’s a mistake,Ignore it,Because email is not important,Click “Yes” and update later,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
21,2025/08/25 5:22:40 PM GMT+5:30,25,Female,Diploma,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A generic email to many people,To trick users into feeling safe,Ignore it
22,2025/08/25 5:23:10 PM GMT+5:30,25,Male,Diploma,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
23,2025/08/25 5:23:34 PM GMT+5:30,25,Female,Diploma,University /Diploma level,Report it as phishing,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
24,2025/08/25 5:24:03 PM GMT+5:30,21,Prefer not to say,School A/L,University /Diploma level,Reply and confirm,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Close the window and restart,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
25,2025/08/25 5:24:25 PM GMT+5:30,23,Female,Diploma,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,Because email is not important,Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
26,2025/08/25 5:24:53 PM GMT+5:30,22,Female,School A/L,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
27,2025/08/25 5:25:25 PM GMT+5:30,22,Female,Diploma,University /Diploma level,Reply and confirm,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,Because email is not important,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
28,2025/08/25 5:26:00 PM GMT+5:30,23,Female,Diploma,University /Diploma level,Click the link to check,No signature at the end,Assume it’s a mistake,Ignore it,Because email is not important,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
29,2025/08/25 5:26:34 PM GMT+5:30,22,Male,HND,University /Diploma level,Reply and confirm,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Click and reset it,Because email is not important,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Ignore it
30,2025/08/25 5:27:03 PM GMT+5:30,26,Prefer not to say,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Enter details quickly,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Ignore it
31,2025/08/27 1:22:34 PM GMT+5:30,23,Male,Diploma,University /Diploma level,Reply and confirm,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
32,2025/08/27 1:22:56 PM GMT+5:30,20,Female,School A/L,University /Diploma level,Click the link to check,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
33,2025/08/27 1:23:18 PM GMT+5:30,24,Male,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
34,2025/08/27 1:23:43 PM GMT+5:30,24,Female,Diploma,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Ignore it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
35,2025/08/27 1:24:06 PM GMT+5:30,23,Male,HND,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
36,2025/08/27 1:24:28 PM GMT+5:30,21,Female,School A/L,Not,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
37,2025/08/27 1:24:47 PM GMT+5:30,24,Female,HND,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
38,2025/08/27 1:25:09 PM GMT+5:30,24,Male,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
39,2025/08/27 1:25:28 PM GMT+5:30,24,Female,School A/L,School Level,Click the link to check,It comes from your manager,Assume it’s a mistake,Forward it to someone else,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
40,2025/08/27 1:25:50 PM GMT+5:30,21,Male,School A/L,Not,Ignore and delete it,The subject line includes your name,Reply to confirm if it’s real,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
41,2025/08/27 1:35:39 PM GMT+5:30,23,Female,School A/L,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
42,2025/08/27 1:36:06 PM GMT+5:30,22,Male,School A/L,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
43,2025/08/27 1:36:49 PM GMT+5:30,25,Male,School A/L,School Level,Ignore and delete it,It comes from your manager,Reply to confirm if it’s real,Ignore it,It can be confusing,Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
44,2025/08/27 1:37:06 PM GMT+5:30,24,Female,Diploma,School Level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
45,2025/08/27 1:37:29 PM GMT+5:30,23,Female,School A/L,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
46,2025/08/27 1:37:52 PM GMT+5:30,25,Female,Diploma,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
47,2025/08/27 1:38:15 PM GMT+5:30,25,Female,School A/L,University /Diploma level,Click the link to check,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
48,2025/08/27 1:38:41 PM GMT+5:30,23,Female,School A/L,School Level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Ignore it,Because email is not important,Check the URL and site certificate,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
49,2025/08/27 1:39:02 PM GMT+5:30,23,Prefer not to say,Diploma,University /Diploma level,Report it as phishing,The subject line includes your name,Assume it’s a mistake,Forward it to someone else,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
50,2025/08/27 1:39:29 PM GMT+5:30,26,Male,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
51,2025/08/27 2:45:54 PM GMT+5:30,21,Female,School A/L,School Level,Report it as phishing,No signature at the end,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To help users stay alert,An attack using harmful hardware,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
52,2025/08/27 4:36:52 PM GMT+5:30,28,Male,Degree,School Level,Click the link to check,Grammatical mistakes and an urgent tone,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,An attack using harmful hardware,To trick users into feeling safe,Ignore it
53,2025/08/28 11:04:52 AM GMT+5:30,24,Female,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Delete and mark as spam,Click and reset it,Because email is not important,Check the URL and site certificate,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
54,2025/08/28 11:05:14 AM GMT+5:30,24,Female,School A/L,University /Diploma level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
55,2025/08/28 11:05:40 AM GMT+5:30,25,Male,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
56,2025/08/28 11:06:08 AM GMT+5:30,24,Male,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
57,2025/08/28 11:06:30 AM GMT+5:30,25,Male,HND,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
58,2025/08/28 11:06:54 AM GMT+5:30,25,Female,HND,University /Diploma level,Report it as phishing,No signature at the end,Recognize it’s spoofed and report it,Forward it to someone else,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
59,2025/08/28 11:07:17 AM GMT+5:30,23,Female,School A/L,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
60,2025/08/28 11:07:43 AM GMT+5:30,23,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Click and reset it,Because email is not important,Enter details quickly,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
61,2025/08/28 11:08:10 AM GMT+5:30,24,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Ignore it,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
62,2025/08/28 11:08:33 AM GMT+5:30,23,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
63,2025/08/28 11:08:55 AM GMT+5:30,23,Male,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Enter details quickly,Because it’s a system error,A highly targeted email crafted for a specific person,To block ads,Restart the device
64,2025/08/28 11:09:20 AM GMT+5:30,24,Female,Diploma,Not,Click the link to check,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Enter details quickly,To scare you into clicking,A highly targeted email crafted for a specific person,To block ads,Ignore it
65,2025/08/28 11:09:41 AM GMT+5:30,25,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
66,2025/08/28 11:10:04 AM GMT+5:30,24,Male,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
67,2025/08/28 11:10:23 AM GMT+5:30,27,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A virus in a PDF,To trick users into feeling safe,Close the tab and continue working
68,2025/08/28 11:10:46 AM GMT+5:30,27,Female,Degree,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
69,2025/08/28 11:11:09 AM GMT+5:30,24,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
70,2025/08/28 11:13:47 AM GMT+5:30,23,Male,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
71,2025/08/28 11:15:43 AM GMT+5:30,23,Female,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,It can be confusing,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
72,2025/08/28 11:16:06 AM GMT+5:30,21,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
73,2025/08/28 11:16:32 AM GMT+5:30,22,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Reply to confirm if it’s real,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
74,2025/08/28 11:17:01 AM GMT+5:30,24,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
75,2025/08/28 11:18:25 AM GMT+5:30,25,Male,HND,School Level,Ignore and delete it,No signature at the end,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
76,2025/08/28 11:19:14 AM GMT+5:30,23,Male,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
77,2025/08/28 11:19:40 AM GMT+5:30,23,Male,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
78,2025/08/28 11:20:08 AM GMT+5:30,22,Male,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
79,2025/08/28 11:20:31 AM GMT+5:30,23,Male,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Click and reset it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To block ads,Ignore it
80,2025/08/28 11:20:56 AM GMT+5:30,23,Male,Diploma,Not,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
81,2025/08/28 11:21:20 AM GMT+5:30,18,Male,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
82,2025/08/28 11:21:39 AM GMT+5:30,23,Male,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
83,2025/08/28 11:21:59 AM GMT+5:30,23,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
84,2025/08/28 11:22:17 AM GMT+5:30,23,Male,School A/L,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
85,2025/08/28 11:22:45 AM GMT+5:30,23,Male,Degree,University /Diploma level,Reply and confirm,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
86,2025/08/28 11:23:43 AM GMT+5:30,25,Male,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To scare you into clicking,A generic email to many people,To trick users into feeling safe,Ignore it
87,2025/08/28 11:24:05 AM GMT+5:30,24,Male,School A/L,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A generic email to many people,To improve speed,Ignore it
88,2025/08/28 11:24:32 AM GMT+5:30,19,Male,School O/L,Not,Click the link to check,The subject line includes your name,Reply to confirm if it’s real,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
89,2025/08/28 11:25:01 AM GMT+5:30,24,Male,HND,University /Diploma level,Ignore and delete it,No signature at the end,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
90,2025/08/28 11:31:09 AM GMT+5:30,20,Male,School A/L,School Level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,Ignore it
91,2025/08/28 11:31:32 AM GMT+5:30,20,Male,School A/L,School Level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
92,2025/08/28 11:31:57 AM GMT+5:30,20,Male,School A/L,School Level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Ignore it,It can be confusing,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
93,2025/08/28 11:32:18 AM GMT+5:30,24,Male,School A/L,School Level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
